P1,P2,P3,P4,P5,P6
5, 4436,10,5,172,155,86
6, 2104,6,21,6639,10,96
8, 6672,13,25,6160,30,45
10, 6777,8,5,3430,8,8
15, 10493,583,5,13128,9,20
20, 10704,2201,5,6657,13,65
30, 11833,469,5,11322,22,5366
50, 11317,1042,5,8826,35,9304
75, 16475,41,5,11329,71,13710
100, 12248,1964,5,13238,117,9998
150, 14720,3214,50,14356,605,10517
200, 14627,3274,203,11748,853,10322
