P1,P2,P3,P4,P5,P6
5, 15579,8508,11274,15444,15425,15229
6, 16219,9809,11658,16223,14441,15935
8, 17029,9852,11992,16921,12912,13411
10, 17480,9868,12305,17140,15036,14507
15, 18197,9183,12282,18187,15273,14789
20, 18528,9775,12379,18527,15814,16678
30, 18876,9777,12407,18858,17103,16858
50, 19153,10293,12103,18981,17688,18196
75, 19322,10487,12175,19247,18421,18238
100, 19109,10156,11762,19398,18768,18743
150, 19559,10195,12508,19479,19030,18852
200, 19538,10773,12754,19597,19221,18812
