P1,P2,P3,P4,P5,P6
5, 19503,32,13,524,395,208
6, 6497,19,38,19503,18,179
8, 19512,51,43,19565,45,86
10, 19582,42,13,19512,13,13
15, 19536,4870,15,19543,12,84
20, 19535,19493,12,19526,27,316
30, 19578,6473,15,19560,51,19541
50, 19637,19534,19,19607,155,19568
75, 19688,1025,20,19679,365,19606
100, 19748,19641,20,19736,672,19678
150, 19963,19886,6503,19851,9783,19769
200, 20015,20099,19487,19985,9799,19928
