P1,P2,P3,P4,P5,P6
5, 1948,16,8,1080,539,1080
6, 19499,27,7,19510,18,141
8, 9752,28,6,19516,10,19514
10, 19519,36,18,19532,10,21
15, 19526,2777,9,19521,14,9750
20, 19556,317,12,19541,17,19538
30, 19569,986,27,19570,257,19561
50, 19646,19584,17,19602,387,19623
75, 19701,19643,19507,19661,1771,19636
100, 19799,19701,9753,19752,3898,19600
150, 19924,19876,19504,19880,9766,19737
200, 20000,20022,19527,19973,19554,19761
