P1,P2,P3,P4,P5,P6
5, 1616,3778,3207,1602,1485,1553
6, 1383,2798,562,1345,1771,1385
8, 1072,1370,515,171,430,397
10, 136,2474,2171,381,1687,1724
15, 539,2729,2463,523,1570,1580
20, 398,450,2385,415,1315,975
30, 278,220,2452,283,858,911
50, 171,428,2542,227,708,468
75, 115,2183,2492,139,422,465
100, 190,2551,2621,95,299,289
150, 66,2135,2371,82,211,274
200, 83,1806,2188,60,143,306
