P1,P2,P3,P4,P5,P6
5, 1553,3907,2953,1557,1592,1589
6, 1352,3338,3208,1356,1990,2675
8, 995,3450,2604,1030,2177,2186
10, 811,3356,2420,807,2149,1788
15, 537,3248,2652,539,1849,1398
20, 509,520,2747,418,1692,440
30, 328,233,2597,273,1135,312
50, 191,798,2719,211,745,392
75, 249,2781,2574,114,457,522
100, 302,2464,2801,151,318,480
150, 135,2281,2723,174,212,570
200, 87,2196,2480,241,169,497
