P1,P2,P3,P4,P5,P6
5, 15512,8314,11307,15472,15171,15163
6, 16111,9784,11898,16176,14630,13285
8, 17022,9910,12421,16943,15135,13486
10, 17451,9959,12329,17531,15618,13648
15, 18198,9206,12452,18179,16123,433460
20, 18510,9768,12943,18513,17282,18525
30, 18853,9792,12952,18877,17413,18830
50, 19161,9899,12415,19168,18061,17659
75, 19319,10345,12796,19314,18737,18942
100, 19416,10337,12774,19408,18749,18809
150, 674041,10653,12825,19547,18979,19152
200, 19649,10627,13016,19636,19187,19127
