P1,P2,P3,P4,P5,P6
5, 1082,36,22,1949,162,238
6, 19519,20,9,2786,26,54
8, 19517,24,7,19511,15,12
10, 19506,36,18,19507,15,15
15, 19538,1381,29,19530,17,1343
20, 19529,867,57,19541,31,19536
30, 19574,4863,23,19565,32,19553
50, 19623,19683,28,19621,49,19559
75, 19681,1495,9753,19663,136,19649
100, 19747,109,6499,19734,120,19597
150, 678762,19829,19505,19852,190,19665
200, 20013,19897,19511,19981,307,19824
