P1,P2,P3,P4,P5,P6
5, 578,6,4,401,233,286
6, 5073,6,3,9903,9,42
8, 4083,6,4,9950,6,2460
10, 8390,6,7,12138,6,10
15, 7001,630,4,9064,7,1099
20, 5930,49,4,11387,9,12773
30, 9479,107,5,15023,25,11840
50, 10990,1747,4,11359,58,11685
75, 10970,1422,265,16409,122,10685
100, 11932,1131,102,14937,167,8800
150, 13416,3151,135,12005,518,8156
200, 11315,3446,135,12610,5305,9038
