P1,P2,P3,P4,P5,P6
5, 1719,4308,3444,1730,1852,1844
6, 1459,3964,3087,1430,1994,2579
8, 1065,3918,2695,1092,1680,2371
10, 876,3577,2693,846,1565,2264
15, 571,3014,2518,573,1340,1678
20, 422,547,2283,431,911,428
30, 295,351,2232,282,852,296
50, 172,288,2478,170,590,676
75, 116,2347,2281,113,319,252
100, 87,2475,2271,87,314,282
150, 56,2299,2273,58,226,168
200, 47,1978,2270,47,150,183
