P1,P2,P3,P4,P5,P6
5, 15511,8755,11279,15497,15479,15477
6, 16198,9762,11063,16243,14241,12703
8, 17002,9846,12169,17040,13898,13888
10, 17539,9926,12886,17563,14011,14684
15, 18172,9146,12310,18175,14988,15672
20, 18253,9781,11966,18513,15218,18501
30, 18705,9801,12399,18877,16578,18797
50, 19108,10241,11874,19025,17661,18514
75, 18961,10062,12181,19320,18430,18125
100, 18840,10287,11748,19247,18725,18218
150, 19359,10556,12167,19224,19042,17998
200, 19532,10681,11933,19097,19171,18225
